Date,收市,開市,高,低,成交量,orrrage,rate
2009/12/28,0.031,0.031,0.031,0.0309,,0.00%,0
2009/12/29,0.0309,0.031,0.031,0.0309,,-0.32%,-0.322580645
2009/12/30,0.031,0.0309,0.0311,0.0309,,0.32%,0.323624595
2009/12/31,0.0313,0.031,0.0313,0.031,,0.97%,0.967741935
2010/1/1,0.0313,0.0312,0.0313,0.0312,,0.00%,0.319488818
2010/1/4,0.0315,0.0312,0.0316,0.0312,,0.64%,0.958466454
2010/1/5,0.0313,0.0315,0.0315,0.0313,,-0.63%,-0.634920635
2010/1/6,0.0314,0.0314,0.0315,0.0313,,0.32%,0
2010/1/7,0.0313,0.0313,0.0315,0.0313,,-0.32%,0
2010/1/8,0.0314,0.0314,0.0314,0.0313,,0.32%,0
2010/1/11,0.0315,0.0314,0.0315,0.0313,,0.32%,0.318471338
2010/1/12,0.0314,0.0315,0.0316,0.0314,,-0.32%,-0.317460317
2010/1/13,0.0315,0.0314,0.0315,0.0314,,0.32%,0.318471338
2010/1/14,0.0315,0.0315,0.0315,0.0314,,0.00%,0
2010/1/15,0.0314,0.0315,0.0316,0.0314,,-0.32%,-0.317460317
2010/1/18,0.0315,0.0314,0.0315,0.0314,,0.32%,0.318471338
2010/1/19,0.0314,0.0315,0.0315,0.0313,,-0.32%,-0.317460317
2010/1/20,0.0313,0.0314,0.0315,0.0312,,-0.32%,-0.318471338
2010/1/21,0.0313,0.0313,0.0314,0.0312,,0.00%,0
2010/1/22,0.0313,0.0313,0.0313,0.0312,,0.00%,0
2010/1/25,0.0313,0.0313,0.0313,0.0312,,0.00%,0
2010/1/26,0.0312,0.0313,0.0313,0.0311,,-0.32%,-0.319488818
2010/1/27,0.0312,0.0312,0.0313,0.0311,,0.00%,0
2010/1/28,0.0313,0.0312,0.0313,0.0311,,0.32%,0.320512821
2010/1/29,0.0313,0.0312,0.0313,0.0311,,0.00%,0.319488818
2010/2/1,0.0312,0.0313,0.0313,0.0311,,-0.32%,-0.319488818
2010/2/2,0.0312,0.0312,0.0313,0.0311,,0.00%,0
2010/2/3,0.0312,0.0312,0.0313,0.0312,,0.00%,0
2010/2/4,0.0311,0.0312,0.0313,0.0311,,-0.32%,-0.320512821
2010/2/5,0.0311,0.0311,0.0312,0.031,,0.00%,0
2010/2/8,0.0311,0.0311,0.0312,0.031,,0.00%,0
2010/2/9,0.0312,0.031,0.0313,0.031,,0.32%,0.643086817
2010/2/10,0.0311,0.0311,0.0313,0.0311,,-0.32%,0
2010/2/11,0.0312,0.0312,0.0312,0.0311,,0.32%,0
2010/2/12,0.0311,0.0312,0.0312,0.0311,,-0.32%,-0.320512821
2010/2/15,0.0311,0.0312,0.0312,0.0311,,0.00%,-0.321543408
2010/2/16,0.0312,0.0311,0.0312,0.0311,,0.32%,0.321543408
2010/2/17,0.0312,0.0312,0.0313,0.0312,,0.00%,0
2010/2/18,0.0312,0.0312,0.0312,0.0312,,0.00%,0
